Epoch, 0, mode, training, loss, 0.2978282834403217, loss std, 0.017959120955897624 
Epoch, 0, mode, testing, loss, 0.2780421726405621, loss std, 0.011202498727096076 
Epoch, 1, mode, training, loss, 0.26976381344720723, loss std, 0.01440758374035859 
Epoch, 1, mode, testing, loss, 0.2578171271830797, loss std, 0.010554410075898189 
Epoch, 2, mode, training, loss, 0.25570717277005317, loss std, 0.014158908136437108 
Epoch, 2, mode, testing, loss, 0.24871943332254887, loss std, 0.010270426794485312 
Epoch, 3, mode, training, loss, 0.24898775927722455, loss std, 0.013898249123495948 
Epoch, 3, mode, testing, loss, 0.24342714361846446, loss std, 0.010196890541243477 
Epoch, 4, mode, training, loss, 0.24504347555339337, loss std, 0.013741059687319956 
Epoch, 4, mode, testing, loss, 0.2404374074190855, loss std, 0.01014544429713946 
Epoch, 5, mode, training, loss, 0.2423075307160616, loss std, 0.013684282144106972 
Epoch, 5, mode, testing, loss, 0.23763526417315006, loss std, 0.010126379525280022 
Epoch, 6, mode, training, loss, 0.23963364800438286, loss std, 0.01351919313365849 
Epoch, 6, mode, testing, loss, 0.23491233475506307, loss std, 0.010030380398504304 
Epoch, 7, mode, training, loss, 0.23696222603321077, loss std, 0.013576068215087082 
Epoch, 7, mode, testing, loss, 0.23194680996239186, loss std, 0.010014804965929377 
Epoch, 8, mode, training, loss, 0.23334642462432384, loss std, 0.013559857351569227 
Epoch, 8, mode, testing, loss, 0.22788082771003246, loss std, 0.009959936515982112 
Epoch, 9, mode, training, loss, 0.2301215554587543, loss std, 0.013503646107384061 
Epoch, 9, mode, testing, loss, 0.22462786957621575, loss std, 0.009862462511169342 
Epoch, 10, mode, training, loss, 0.22721723075956107, loss std, 0.013540143432579161 
Epoch, 10, mode, testing, loss, 0.2219909571111202, loss std, 0.009834720712927842 
Epoch, 11, mode, training, loss, 0.22459476040676235, loss std, 0.01348714633080305 
Epoch, 11, mode, testing, loss, 0.21933422274887562, loss std, 0.00994672224211739 
Epoch, 12, mode, training, loss, 0.22271490087732673, loss std, 0.013654119603140847 
Epoch, 12, mode, testing, loss, 0.21767935305833816, loss std, 0.010076523017253687 
Epoch, 13, mode, training, loss, 0.22085448848083616, loss std, 0.013599671188618307 
