training loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.0173332153315035,0.008562161839411905,0.00827113917718331,0.008218778887142737,0.008201408048626036,0.008193692987939963,0.00818964393887048,0.008187276838968197,0.008185784530360252,0.008184790048593035
training loss, non-robust, decision-focused, 0.008181818760931492,0.038927361369132996,0.0365654197987169,0.03431701073423028,0.031145736187075574,0.026923991786316038,0.0251832513914754,0.024215391200656692,0.023381695966236293,0.022584956752446792,0.022122790540258088,0.02180104018189013
training loss, robust, two-stage, 0.0,0.052362821996212006,0.01868239229370374,0.0007269810093324243,0.00014224302661508165,5.147605317385266e-05,2.21561171808086e-05,1.2242682582079093e-05,7.68888925601156e-06,5.213114796257893e-06,3.720328791700922e-06,2.754323896662451e-06
training loss, robust, decision-focused, 0.0,0.05264071375131607,0.05029319996635119,0.046236151627575356,0.04496725212472181,0.044090453535318375,0.042932200447345775,0.04389013132701317,0.044406977187221246,0.04351409263908863,0.04264705738363166,0.042982549484198294
testing loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.009086624719202518,0.008330621756613255,0.008234469220042229,0.008207524195313454,0.00819664727896452,0.008191275410354137,0.008188263513147831,0.008186421357095242,0.008185222744941711,0.00818440318107605
testing loss, non-robust, decision-focused, 0.008181818760931492,0.038927361369132996,0.035453908145427704,0.03307153284549713,0.028263963758945465,0.02547597885131836,0.02470749244093895,0.023900825530290604,0.02284180372953415,0.022291012108325958,0.02194477990269661,0.021600522100925446
testing loss, robust, two-stage, 0.0,0.052362821996212006,0.0019149098079651594,0.0002462558331899345,8.107893518172204e-05,3.1007923098513857e-05,1.5777613953105174e-05,9.458903150516562e-06,6.223788659553975e-06,4.349393748270813e-06,3.1705708352092188e-06,2.384475692451815e-06
testing loss, robust, decision-focused, 0.0,0.05264071375131607,0.04798804968595505,0.045413628220558167,0.04467151314020157,0.04365786164999008,0.04328441992402077,0.04422372579574585,0.04420769214630127,0.04303406924009323,0.04238478094339371,0.043554745614528656
training loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.009239841803597907,0.008184752512412767,0.008182926770920555,0.008182396739721298,0.00818217033908392
training loss, non-robust, decision-focused, 0.008181818760931492,0.037049733102321625,0.06012024361019333,0.06600270885974169,0.06639749805132548,0.06646738486985365,0.06649056350191435
training loss, robust, two-stage, 0.0,0.05314287543296814,0.0022942414036928463,3.5877242993365145e-06,1.3438819578937e-06,7.081761213593533e-07,4.3518931616877886e-07
training loss, robust, decision-focused, 0.0,0.051371749490499496,0.07130188482503096,0.09945816438024242,0.10435756112759312,0.10481599144016703,0.10505902680257956
