Epoch, 0, mode, training, loss, 0.2952155443839729, loss std, 0.023035525915320067 
Epoch, 0, mode, testing, loss, 0.2614030778408051, loss std, 0.011536526243676461 
Epoch, 1, mode, training, loss, 0.23752511385828257, loss std, 0.020845556259224702 
Epoch, 1, mode, testing, loss, 0.20977349281311036, loss std, 0.010579007529785949 
Epoch, 2, mode, training, loss, 0.1909225585870445, loss std, 0.016883560591121203 
Epoch, 2, mode, testing, loss, 0.16896031163632869, loss std, 0.009998289949065639 
Epoch, 3, mode, training, loss, 0.15425593499094248, loss std, 0.013822007293220055 
Epoch, 3, mode, testing, loss, 0.13705245405435562, loss std, 0.009445869474819556 
Epoch, 4, mode, training, loss, 0.125977050838992, loss std, 0.012145919102586033 
Epoch, 4, mode, testing, loss, 0.11251557637006045, loss std, 0.009055412652887718 
Epoch, 5, mode, training, loss, 0.10440571643412114, loss std, 0.011404109133312754 
Epoch, 5, mode, testing, loss, 0.09393754359334708, loss std, 0.008663342532604335 
Epoch, 6, mode, training, loss, 0.08822052064351737, loss std, 0.010352305504006674 
Epoch, 6, mode, testing, loss, 0.08020018804818392, loss std, 0.008519214844372569 
Epoch, 7, mode, training, loss, 0.0762084697606042, loss std, 0.009810237759215046 
Epoch, 7, mode, testing, loss, 0.07001134185120464, loss std, 0.008366548434086964 
Epoch, 8, mode, training, loss, 0.0673239104449749, loss std, 0.009072793764821556 
Epoch, 8, mode, testing, loss, 0.062435814552009104, loss std, 0.008177070105432335 
Epoch, 9, mode, training, loss, 0.06072315631899983, loss std, 0.00900319762935123 
Epoch, 9, mode, testing, loss, 0.056759755872189996, loss std, 0.008063673594921281 
Epoch, 10, mode, training, loss, 0.05576119318138808, loss std, 0.008748513566866187 
Epoch, 10, mode, testing, loss, 0.0524818230420351, loss std, 0.00806382526023661 
Epoch, 11, mode, training, loss, 0.05199585088994354, loss std, 0.008676883157919578 
Epoch, 11, mode, testing, loss, 0.04903215318918228, loss std, 0.007923254969700944 
Epoch, 12, mode, training, loss, 0.04903488009003922, loss std, 0.008575209706643085 
Epoch, 12, mode, testing, loss, 0.04659252841956914, loss std, 0.00796522887084678 
Epoch, 13, mode, training, loss, 0.04673699445556849, loss std, 0.008492869628798024 
Epoch, 13, mode, testing, loss, 0.044595230370759964, loss std, 0.007931998967280291 
Epoch, 14, mode, training, loss, 0.04489910235861316, loss std, 0.008416041449817327 
Epoch, 14, mode, testing, loss, 0.04298960161395371, loss std, 0.007915688058550367 
Epoch, 15, mode, training, loss, 0.04339288806077093, loss std, 0.008431560066411905 
Epoch, 15, mode, testing, loss, 0.04152598907239735, loss std, 0.007880962507325751 
Epoch, 16, mode, training, loss, 0.04218705864623189, loss std, 0.008380039986896603 
Epoch, 16, mode, testing, loss, 0.04045737162232399, loss std, 0.007853425715443311 
Epoch, 17, mode, training, loss, 0.041175466612912714, loss std, 0.008332786823559877 
Epoch, 17, mode, testing, loss, 0.039463213412091136, loss std, 0.0077831631192749945 
Epoch, 18, mode, training, loss, 0.04032403527526185, loss std, 0.008338725514679436 
Epoch, 18, mode, testing, loss, 0.038720683800056575, loss std, 0.007781532656361247 
Epoch, 19, mode, training, loss, 0.03960199282737449, loss std, 0.008333936134915626 
Epoch, 19, mode, testing, loss, 0.03809389611706138, loss std, 0.007788286314203598 
Epoch, 20, mode, training, loss, 0.038980038778390735, loss std, 0.008255165987229087 
Epoch, 20, mode, testing, loss, 0.03750642845407128, loss std, 0.00773939957827605 
Epoch, 21, mode, training, loss, 0.038436671800445764, loss std, 0.008297891513096805 
Epoch, 21, mode, testing, loss, 0.03700587204657495, loss std, 0.007753541704300798 
Epoch, 22, mode, training, loss, 0.037980277300812305, loss std, 0.008291992277346952 
Epoch, 22, mode, testing, loss, 0.03654683427885175, loss std, 0.007749235591688823 
Epoch, 23, mode, training, loss, 0.037573560478631404, loss std, 0.008265777640812676 
Epoch, 23, mode, testing, loss, 0.03625404122285545, loss std, 0.007789435509996965 
Epoch, 24, mode, training, loss, 0.03722982982872054, loss std, 0.008234866745222077 
Epoch, 24, mode, testing, loss, 0.03573566419072449, loss std, 0.0076789183463802585 
Epoch, 25, mode, training, loss, 0.03690078579820692, loss std, 0.008198790184219717 
Epoch, 25, mode, testing, loss, 0.03555412571877241, loss std, 0.0077377519149708866 
Epoch, 26, mode, training, loss, 0.0366286241915077, loss std, 0.008204975245314076 
Epoch, 26, mode, testing, loss, 0.0352938492782414, loss std, 0.007760924175011608 
Epoch, 27, mode, training, loss, 0.03639833171619102, loss std, 0.008210461037118052 
Epoch, 27, mode, testing, loss, 0.03503407957032323, loss std, 0.0076844866345115335 
Epoch, 28, mode, training, loss, 0.03616963014937937, loss std, 0.008257677731383023 
Epoch, 28, mode, testing, loss, 0.034765535360202195, loss std, 0.007623645676886681 
Epoch, 29, mode, training, loss, 0.03594511313131079, loss std, 0.008197562294388764 
Epoch, 29, mode, testing, loss, 0.03472228008322418, loss std, 0.007775846480458622 
Epoch, 30, mode, training, loss, 0.03577571188216098, loss std, 0.008215249067478784 
