Epoch, -2, mode, training, loss, 0.0, loss std, 0.0 
Epoch, -2, mode, testing, loss, 0.0, loss std, 0.0 
Epoch, -1, mode, training, loss, 2.4828839257359503, loss std, 0.4339546631937213 
Epoch, -1, mode, testing, loss, 2.4345957080523175, loss std, 0.3995437154648604 
Epoch, 0, mode, training, loss, 2.4193927894035974, loss std, 0.42508067872708 
Epoch, 0, mode, testing, loss, 2.319342625141144, loss std, 0.3781074887022129 
Epoch, 1, mode, training, loss, 2.3031839579343796, loss std, 0.41294257040274424 
Epoch, 1, mode, testing, loss, 2.222076064348221, loss std, 0.36596431960495895 
Epoch, 2, mode, training, loss, 2.235856821636359, loss std, 0.41740394781824186 
Epoch, 2, mode, testing, loss, 2.1923999071121214, loss std, 0.3606648195275957 
Epoch, 3, mode, training, loss, 2.224605622390906, loss std, 0.413955025894153 
Epoch, 3, mode, testing, loss, 2.1916932264963784, loss std, 0.35893756170425345 
Epoch, 4, mode, training, loss, 2.2229349806904795, loss std, 0.41601752009217713 
Epoch, 4, mode, testing, loss, 2.191415532430013, loss std, 0.35980813000573597 
Epoch, 5, mode, training, loss, 2.2225935583313308, loss std, 0.4179099696403824 
Epoch, 5, mode, testing, loss, 2.192233258485794, loss std, 0.3646615284640494 
Epoch, 6, mode, training, loss, 2.2228208387891453, loss std, 0.4202675652659925 
Epoch, 6, mode, testing, loss, 2.193786096572876, loss std, 0.36088624668352837 
Epoch, 7, mode, training, loss, 2.2234852905074756, loss std, 0.4177713721857705 
Epoch, 7, mode, testing, loss, 2.1910281399885814, loss std, 0.3621599707238695 
Epoch, 8, mode, training, loss, 2.222711355984211, loss std, 0.4196707738795233 
Epoch, 8, mode, testing, loss, 2.191714902718862, loss std, 0.3636533962211015 
Epoch, 9, mode, training, loss, 2.2233686874310177, loss std, 0.42075148686016 
Epoch, 9, mode, testing, loss, 2.191736642519633, loss std, 0.3655914475582434 
Epoch, 10, mode, training, loss, 2.223061749835809, loss std, 0.4180110869164438 
Epoch, 10, mode, testing, loss, 2.1924741327762605, loss std, 0.36073300200193265 
Epoch, 11, mode, training, loss, 2.2228791266679764, loss std, 0.41853878846179593 
Epoch, 11, mode, testing, loss, 2.1926100691159567, loss std, 0.3641732727506183 
Epoch, 12, mode, training, loss, 2.222965190807978, loss std, 0.41802322512531565 
Epoch, 12, mode, testing, loss, 2.191222123305003, loss std, 0.3618800708815033 
Epoch, 13, mode, training, loss, 2.2224701831738156, loss std, 0.41993908702348975 
Epoch, 13, mode, testing, loss, 2.1935117741425834, loss std, 0.3644786399001098 
